GDR2_ID,hostname
6048608906890968960,USco1621 A
6245758900889486720,K2-33
145203159127518336,CI Tau
151374202498079872,DH Tau
5201175987817179136,CHXR 73
6048935358761628288,ROXs 12
147831571737487488,V830 Tau
6235663460003427200,USco1556 A
1926476042677456768,kap And
6105713692543053056,b Cen A
5201360671411974912,CT Cha
6249068843209158784,USco CTIO 108
6110141563309613056,PDS 70
6243841249531772800,1RXS J160929.1-210524
151499478104075008,2M0437
6011522757643074304,GQ Lup
144936836795636864,LkCa 15
6047587937321868288,ROXs 42 B
4325505960880989952,K2-289
3928391218812375808,GJ 480
